10248,12,1996-07-04 00:00:00.000,Vins et alcools Chevalier,Paul Henriot
10248,10,1996-07-04 00:00:00.000,Vins et alcools Chevalier,Paul Henriot
10248,5,1996-07-04 00:00:00.000,Vins et alcools Chevalier,Paul Henriot
10249,9,1996-07-05 00:00:00.000,Toms Spezialitäten,Karin Josephs
10249,40,1996-07-05 00:00:00.000,Toms Spezialitäten,Karin Josephs
10250,10,1996-07-08 00:00:00.000,Hanari Carnes,Mario Pontes
10250,35,1996-07-08 00:00:00.000,Hanari Carnes,Mario Pontes
10250,15,1996-07-08 00:00:00.000,Hanari Carnes,Mario Pontes
10251,6,1996-07-08 00:00:00.000,Victuailles en stock,Mary Saveley
10251,15,1996-07-08 00:00:00.000,Victuailles en stock,Mary Saveley
10251,20,1996-07-08 00:00:00.000,Victuailles en stock,Mary Saveley
10252,40,1996-07-09 00:00:00.000,Suprêmes délices,Pascale Cartrain
10252,25,1996-07-09 00:00:00.000,Suprêmes délices,Pascale Cartrain
10252,40,1996-07-09 00:00:00.000,Suprêmes délices,Pascale Cartrain
10253,20,1996-07-10 00:00:00.000,Hanari Carnes,Mario Pontes
10253,42,1996-07-10 00:00:00.000,Hanari Carnes,Mario Pontes
10253,40,1996-07-10 00:00:00.000,Hanari Carnes,Mario Pontes
10254,15,1996-07-11 00:00:00.000,Chop-suey Chinese,Yang Wang
10254,21,1996-07-11 00:00:00.000,Chop-suey Chinese,Yang Wang
10254,21,1996-07-11 00:00:00.000,Chop-suey Chinese,Yang Wang
10255,20,1996-07-12 00:00:00.000,Richter Supermarkt,Michael Holz
10255,35,1996-07-12 00:00:00.000,Richter Supermarkt,Michael Holz
10255,25,1996-07-12 00:00:00.000,Richter Supermarkt,Michael Holz
10255,30,1996-07-12 00:00:00.000,Richter Supermarkt,Michael Holz
10256,15,1996-07-15 00:00:00.000,Wellington Importadora,Paula Parente
10256,12,1996-07-15 00:00:00.000,Wellington Importadora,Paula Parente
10257,25,1996-07-16 00:00:00.000,HILARION-Abastos,Carlos Hernández
10257,6,1996-07-16 00:00:00.000,HILARION-Abastos,Carlos Hernández
10257,15,1996-07-16 00:00:00.000,HILARION-Abastos,Carlos Hernández
10258,50,1996-07-17 00:00:00.000,Ernst Handel,Roland Mendel
10258,65,1996-07-17 00:00:00.000,Ernst Handel,Roland Mendel
10258,6,1996-07-17 00:00:00.000,Ernst Handel,Roland Mendel
10259,10,1996-07-18 00:00:00.000,Centro comercial Moctezuma,Francisco Chang
10259,1,1996-07-18 00:00:00.000,Centro comercial Moctezuma,Francisco Chang
10260,16,1996-07-19 00:00:00.000,Ottilies Käseladen,Henriette Pfalzheim
10260,50,1996-07-19 00:00:00.000,Ottilies Käseladen,Henriette Pfalzheim
10260,15,1996-07-19 00:00:00.000,Ottilies Käseladen,Henriette Pfalzheim
10260,21,1996-07-19 00:00:00.000,Ottilies Käseladen,Henriette Pfalzheim
10261,20,1996-07-19 00:00:00.000,Que Delícia,Bernardo Batista
10261,20,1996-07-19 00:00:00.000,Que Delícia,Bernardo Batista
10262,12,1996-07-22 00:00:00.000,Rattlesnake Canyon Grocery,Paula Wilson
10262,15,1996-07-22 00:00:00.000,Rattlesnake Canyon Grocery,Paula Wilson
10262,2,1996-07-22 00:00:00.000,Rattlesnake Canyon Grocery,Paula Wilson
10263,60,1996-07-23 00:00:00.000,Ernst Handel,Roland Mendel
10263,28,1996-07-23 00:00:00.000,Ernst Handel,Roland Mendel
10263,60,1996-07-23 00:00:00.000,Ernst Handel,Roland Mendel
10263,36,1996-07-23 00:00:00.000,Ernst Handel,Roland Mendel
10264,35,1996-07-24 00:00:00.000,Folk och fä HB,Maria Larsson
10264,25,1996-07-24 00:00:00.000,Folk och fä HB,Maria Larsson
10265,30,1996-07-25 00:00:00.000,Blondesddsl père et fils,Frédérique Citeaux
